Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Jan 4 2016,10:00 PM,Memphis Grizzlies,91,Portland Trail Blazers,78,Box Score,,18832,
Mon Jan 4 2016,9:00 PM,Houston Rockets,93,Utah Jazz,91,Box Score,,17912,
Tue Jan 5 2016,8:00 PM,New York Knicks,107,Atlanta Hawks,101,Box Score,,15082,
Tue Jan 5 2016,8:00 PM,Milwaukee Bucks,106,Chicago Bulls,117,Box Score,,21686,
Tue Jan 5 2016,8:30 PM,Sacramento Kings,116,Dallas Mavericks,117,Box Score,2OT,20059,
Tue Jan 5 2016,10:30 PM,Golden State Warriors,109,Los Angeles Lakers,88,Box Score,,18997,
Wed Jan 6 2016,7:30 PM,Detroit Pistons,99,Boston Celtics,94,Box Score,,18624,
Wed Jan 6 2016,7:30 PM,Toronto Raptors,91,Brooklyn Nets,74,Box Score,,14544,
Wed Jan 6 2016,7:00 PM,New York Knicks,98,Miami Heat,90,Box Score,,19987,
Wed Jan 6 2016,8:00 PM,Denver Nuggets,78,Minnesota Timberwolves,74,Box Score,,12059,
Wed Jan 6 2016,8:00 PM,Dallas Mavericks,100,New Orleans Pelicans,91,Box Score,,15255,
Wed Jan 6 2016,9:30 PM,Memphis Grizzlies,94,Oklahoma City Thunder,112,Box Score,,18203,
Wed Jan 6 2016,7:00 PM,Indiana Pacers,95,Orlando Magic,86,Box Score,,18846,
Wed Jan 6 2016,9:00 PM,Charlotte Hornets,102,Phoenix Suns,111,Box Score,,16910,
Wed Jan 6 2016,10:00 PM,Los Angeles Clippers,109,Portland Trail Blazers,98,Box Score,,18598,
Wed Jan 6 2016,8:30 PM,Utah Jazz,98,San Antonio Spurs,123,Box Score,,18418,
Wed Jan 6 2016,7:00 PM,Cleveland Cavaliers,121,Washington Wizards,115,Box Score,,20356,
Thu Jan 7 2016,8:00 PM,Boston Celtics,92,Chicago Bulls,101,Box Score,,21497,
Thu Jan 7 2016,8:00 PM,Utah Jazz,94,Houston Rockets,103,Box Score,,18155,
Thu Jan 7 2016,7:00 PM,Atlanta Hawks,126,Philadelphia 76ers,98,Box Score,,12611,
Thu Jan 7 2016,10:30 PM,Los Angeles Lakers,115,Sacramento Kings,118,Box Score,,17386,
Fri Jan 8 2016,7:30 PM,Orlando Magic,83,Brooklyn Nets,77,Box Score,,13907,
Fri Jan 8 2016,10:30 PM,Oklahoma City Thunder,117,Los Angeles Lakers,113,Box Score,,18997,
Fri Jan 8 2016,8:00 PM,Denver Nuggets,84,Memphis Grizzlies,91,Box Score,,17499,
Fri Jan 8 2016,8:00 PM,Dallas Mavericks,95,Milwaukee Bucks,96,Box Score,,16409,
Fri Jan 8 2016,8:00 PM,Cleveland Cavaliers,125,Minnesota Timberwolves,99,Box Score,,16768,
Fri Jan 8 2016,8:00 PM,Indiana Pacers,91,New Orleans Pelicans,86,Box Score,,16895,
Fri Jan 8 2016,9:30 PM,Miami Heat,103,Phoenix Suns,95,Box Score,,16866,
Fri Jan 8 2016,10:00 PM,Golden State Warriors,128,Portland Trail Blazers,108,Box Score,,20035,
Fri Jan 8 2016,8:30 PM,New York Knicks,99,San Antonio Spurs,100,Box Score,,18420,
Fri Jan 8 2016,7:00 PM,Toronto Raptors,97,Washington Wizards,88,Box Score,,17064,
Sat Jan 9 2016,5:00 PM,Chicago Bulls,105,Atlanta Hawks,120,Box Score,,19010,
Sat Jan 9 2016,7:30 PM,Brooklyn Nets,89,Detroit Pistons,103,Box Score,,16406,
Sat Jan 9 2016,3:30 PM,Charlotte Hornets,83,Los Angeles Clippers,97,Box Score,,19060,
Sat Jan 9 2016,7:00 PM,Washington Wizards,105,Orlando Magic,99,Box Score,,18058,
Sat Jan 9 2016,7:30 PM,Toronto Raptors,108,Philadelphia 76ers,95,Box Score,,14100,
Sat Jan 9 2016,10:00 PM,Golden State Warriors,128,Sacramento Kings,116,Box Score,,17317,
Sat Jan 9 2016,9:00 PM,Miami Heat,83,Utah Jazz,98,Box Score,,19911,
Sun Jan 10 2016,8:00 PM,Charlotte Hornets,92,Denver Nuggets,95,Box Score,,11343,
Sun Jan 10 2016,7:00 PM,Indiana Pacers,103,Houston Rockets,107,Box Score,OT,18133,
Sun Jan 10 2016,3:30 PM,New Orleans Pelicans,111,Los Angeles Clippers,114,Box Score,OT,19060,
Sun Jan 10 2016,9:30 PM,Utah Jazz,86,Los Angeles Lakers,74,Box Score,,18997,
Sun Jan 10 2016,6:00 PM,Boston Celtics,98,Memphis Grizzlies,101,Box Score,,17112,
Sun Jan 10 2016,5:00 PM,Dallas Mavericks,93,Minnesota Timberwolves,87,Box Score,,14363,
Sun Jan 10 2016,7:30 PM,Milwaukee Bucks,88,New York Knicks,100,Box Score,,19812,
Sun Jan 10 2016,6:00 PM,Cleveland Cavaliers,95,Philadelphia 76ers,85,Box Score,,19226,
Sun Jan 10 2016,9:00 PM,Oklahoma City Thunder,110,Portland Trail Blazers,115,Box Score,,19393,
Mon Jan 11 2016,7:30 PM,San Antonio Spurs,106,Brooklyn Nets,79,Box Score,,15214,
Mon Jan 11 2016,8:00 PM,Washington Wizards,114,Chicago Bulls,100,Box Score,,21409,
Mon Jan 11 2016,10:30 PM,Miami Heat,103,Golden State Warriors,111,Box Score,,19596,
Tue Jan 12 2016,8:30 PM,Cleveland Cavaliers,110,Dallas Mavericks,107,Box Score,OT,20347,
Tue Jan 12 2016,7:30 PM,San Antonio Spurs,109,Detroit Pistons,99,Box Score,,14273,
Tue Jan 12 2016,7:00 PM,Phoenix Suns,97,Indiana Pacers,116,Box Score,,15284,
Tue Jan 12 2016,10:30 PM,New Orleans Pelicans,91,Los Angeles Lakers,95,Box Score,,18997,
Tue Jan 12 2016,8:00 PM,Houston Rockets,107,Memphis Grizzlies,91,Box Score,,16044,
Tue Jan 12 2016,8:00 PM,Chicago Bulls,101,Milwaukee Bucks,106,Box Score,,16867,
Tue Jan 12 2016,8:00 PM,Oklahoma City Thunder,101,Minnesota Timberwolves,96,Box Score,,14791,
Tue Jan 12 2016,7:30 PM,Boston Celtics,114,New York Knicks,120,Box Score,,19812,
Wed Jan 13 2016,8:00 PM,Indiana Pacers,94,Boston Celtics,103,Box Score,,18624,
Wed Jan 13 2016,7:30 PM,New York Knicks,104,Brooklyn Nets,110,Box Score,,17732,
Wed Jan 13 2016,7:00 PM,Atlanta Hawks,84,Charlotte Hornets,107,Box Score,,15334,
Wed Jan 13 2016,9:00 PM,Golden State Warriors,110,Denver Nuggets,112,Box Score,,18004,
Wed Jan 13 2016,8:00 PM,Minnesota Timberwolves,104,Houston Rockets,107,Box Score,,17115,
Wed Jan 13 2016,10:30 PM,Miami Heat,90,Los Angeles Clippers,104,Box Score,,19194,
Wed Jan 13 2016,8:00 PM,Dallas Mavericks,89,Oklahoma City Thunder,108,Box Score,,18203,
Wed Jan 13 2016,10:00 PM,Utah Jazz,85,Portland Trail Blazers,99,Box Score,,19393,
Wed Jan 13 2016,10:00 PM,New Orleans Pelicans,109,Sacramento Kings,97,Box Score,,17317,
Wed Jan 13 2016,7:00 PM,Milwaukee Bucks,101,Washington Wizards,106,Box Score,,16248,
Thu Jan 14 2016,10:30 PM,Los Angeles Lakers,98,Golden State Warriors,116,Box Score,,19596,
Thu Jan 14 2016,8:00 PM,Detroit Pistons,101,Memphis Grizzlies,103,Box Score,,15977,
Thu Jan 14 2016,3:00 PM,Toronto Raptors,106,Orlando Magic,103,Box Score,OT,18689,at London England
Thu Jan 14 2016,7:00 PM,Chicago Bulls,115,Philadelphia 76ers,111,Box Score,OT,14063,
Thu Jan 14 2016,8:00 PM,Cleveland Cavaliers,95,San Antonio Spurs,99,Box Score,,18418,
Thu Jan 14 2016,9:00 PM,Sacramento Kings,103,Utah Jazz,101,Box Score,,17894,
Fri Jan 15 2016,7:30 PM,Phoenix Suns,103,Boston Celtics,117,Box Score,,18624,
Fri Jan 15 2016,7:30 PM,Portland Trail Blazers,116,Brooklyn Nets,104,Box Score,,14749,
Fri Jan 15 2016,8:00 PM,Dallas Mavericks,83,Chicago Bulls,77,Box Score,,22056,
Fri Jan 15 2016,9:00 PM,Miami Heat,98,Denver Nuggets,95,Box Score,,15406,
Fri Jan 15 2016,9:30 PM,Cleveland Cavaliers,91,Houston Rockets,77,Box Score,,18320,
Fri Jan 15 2016,7:00 PM,Washington Wizards,118,Indiana Pacers,104,Box Score,,18165,
Fri Jan 15 2016,8:00 PM,Atlanta Hawks,101,Milwaukee Bucks,108,Box Score,OT,15144,
Fri Jan 15 2016,8:00 PM,Charlotte Hornets,107,New Orleans Pelicans,109,Box Score,,16876,
Fri Jan 15 2016,7:00 PM,Minnesota Timberwolves,93,Oklahoma City Thunder,113,Box Score,,18203,
Sat Jan 16 2016,7:30 PM,Brooklyn Nets,86,Atlanta Hawks,114,Box Score,,17052,
Sat Jan 16 2016,7:00 PM,Milwaukee Bucks,105,Charlotte Hornets,92,Box Score,,18288,
Sat Jan 16 2016,7:30 PM,Golden State Warriors,95,Detroit Pistons,113,Box Score,,21584,
Sat Jan 16 2016,10:30 PM,Sacramento Kings,110,Los Angeles Clippers,103,Box Score,,19191,
Sat Jan 16 2016,8:00 PM,New York Knicks,95,Memphis Grizzlies,103,Box Score,,18119,
Sat Jan 16 2016,7:30 PM,Portland Trail Blazers,89,Philadelphia 76ers,114,Box Score,,15698,
Sat Jan 16 2016,9:00 PM,Los Angeles Lakers,82,Utah Jazz,109,Box Score,,19911,
Sat Jan 16 2016,7:30 PM,Boston Celtics,119,Washington Wizards,117,Box Score,,20356,
Sun Jan 17 2016,8:00 PM,Indiana Pacers,126,Denver Nuggets,129,Box Score,,11104,
Sun Jan 17 2016,9:30 PM,Houston Rockets,112,Los Angeles Lakers,95,Box Score,,18997,
Sun Jan 17 2016,3:30 PM,Phoenix Suns,87,Minnesota Timberwolves,117,Box Score,,14330,
Sun Jan 17 2016,7:00 PM,Miami Heat,74,Oklahoma City Thunder,99,Box Score,,18203,
Sun Jan 17 2016,7:00 PM,Dallas Mavericks,83,San Antonio Spurs,112,Box Score,,18418,
Mon Jan 18 2016,5:00 PM,Orlando Magic,81,Atlanta Hawks,98,Box Score,,17460,
Mon Jan 18 2016,2:00 PM,Utah Jazz,119,Charlotte Hornets,124,Box Score,2OT,17459,
Mon Jan 18 2016,8:00 PM,Golden State Warriors,132,Cleveland Cavaliers,98,Box Score,,20562,
Mon Jan 18 2016,8:30 PM,Boston Celtics,113,Dallas Mavericks,118,Box Score,OT,19866,
Mon Jan 18 2016,3:30 PM,Chicago Bulls,111,Detroit Pistons,101,Box Score,,18935,
Mon Jan 18 2016,10:30 PM,Houston Rockets,132,Los Angeles Clippers,140,Box Score,OT,19060,
Mon Jan 18 2016,2:30 PM,New Orleans Pelicans,99,Memphis Grizzlies,101,Box Score,,18119,
Mon Jan 18 2016,1:00 PM,Philadelphia 76ers,113,New York Knicks,119,Box Score,2OT,19812,
Mon Jan 18 2016,7:30 PM,Brooklyn Nets,100,Toronto Raptors,112,Box Score,,19800,
Mon Jan 18 2016,2:00 PM,Portland Trail Blazers,108,Washington Wizards,98,Box Score,,17236,
Tue Jan 19 2016,9:00 PM,Oklahoma City Thunder,110,Denver Nuggets,104,Box Score,,12844,
Tue Jan 19 2016,7:30 PM,Milwaukee Bucks,91,Miami Heat,79,Box Score,,19886,
Tue Jan 19 2016,8:00 PM,Minnesota Timberwolves,99,New Orleans Pelicans,114,Box Score,,14255,
Tue Jan 19 2016,9:00 PM,Indiana Pacers,97,Phoenix Suns,94,Box Score,,16802,
Wed Jan 20 2016,7:30 PM,Cleveland Cavaliers,91,Brooklyn Nets,78,Box Score,,17732,
Wed Jan 20 2016,8:00 PM,Golden State Warriors,125,Chicago Bulls,94,Box Score,,23152,
Wed Jan 20 2016,8:30 PM,Minnesota Timberwolves,94,Dallas Mavericks,106,Box Score,OT,19621,
Wed Jan 20 2016,8:00 PM,Detroit Pistons,123,Houston Rockets,114,Box Score,,17203,
Wed Jan 20 2016,10:30 PM,Sacramento Kings,112,Los Angeles Lakers,93,Box Score,,18997,
Wed Jan 20 2016,7:30 PM,Utah Jazz,111,New York Knicks,118,Box Score,OT,19812,
Wed Jan 20 2016,8:00 PM,Charlotte Hornets,95,Oklahoma City Thunder,109,Box Score,,18203,
Wed Jan 20 2016,7:00 PM,Philadelphia 76ers,96,Orlando Magic,87,Box Score,,17746,
Wed Jan 20 2016,10:30 PM,Atlanta Hawks,104,Portland Trail Blazers,98,Box Score,,18783,
Wed Jan 20 2016,7:30 PM,Boston Celtics,109,Toronto Raptors,115,Box Score,,19800,
Wed Jan 20 2016,7:00 PM,Miami Heat,87,Washington Wizards,106,Box Score,,17008,
Thu Jan 21 2016,8:00 PM,Los Angeles Clippers,102,Cleveland Cavaliers,115,Box Score,,20562,
Thu Jan 21 2016,9:00 PM,Memphis Grizzlies,102,Denver Nuggets,101,Box Score,,16140,
Thu Jan 21 2016,8:00 PM,Detroit Pistons,99,New Orleans Pelicans,115,Box Score,,15281,
Thu Jan 21 2016,10:30 PM,San Antonio Spurs,117,Phoenix Suns,89,Box Score,,16779,
Thu Jan 21 2016,10:00 PM,Atlanta Hawks,88,Sacramento Kings,91,Box Score,,17019,
Fri Jan 22 2016,7:30 PM,Chicago Bulls,101,Boston Celtics,110,Box Score,,18624,
Fri Jan 22 2016,7:30 PM,Utah Jazz,108,Brooklyn Nets,86,Box Score,,12809,
Fri Jan 22 2016,8:30 PM,Oklahoma City Thunder,109,Dallas Mavericks,106,Box Score,,20284,
Fri Jan 22 2016,10:30 PM,Indiana Pacers,110,Golden State Warriors,122,Box Score,,19596,
Fri Jan 22 2016,8:00 PM,Milwaukee Bucks,98,Houston Rockets,102,Box Score,,17196,
Fri Jan 22 2016,10:30 PM,San Antonio Spurs,108,Los Angeles Lakers,95,Box Score,,18997,
Fri Jan 22 2016,7:30 PM,Los Angeles Clippers,116,New York Knicks,88,Box Score,,19812,
Fri Jan 22 2016,7:00 PM,Charlotte Hornets,120,Orlando Magic,116,Box Score,OT,18083,
Fri Jan 22 2016,8:00 PM,Miami Heat,81,Toronto Raptors,101,Box Score,,19800,
Sat Jan 23 2016,7:00 PM,New York Knicks,84,Charlotte Hornets,97,Box Score,,17768,
Sat Jan 23 2016,8:30 PM,Chicago Bulls,96,Cleveland Cavaliers,83,Box Score,,20562,
Sat Jan 23 2016,9:30 PM,Detroit Pistons,101,Denver Nuggets,104,Box Score,,14646,
Sat Jan 23 2016,8:00 PM,Memphis Grizzlies,101,Minnesota Timberwolves,106,Box Score,,15608,
Sat Jan 23 2016,7:00 PM,Milwaukee Bucks,99,New Orleans Pelicans,116,Box Score,,16980,
Sat Jan 23 2016,9:00 PM,Atlanta Hawks,95,Phoenix Suns,98,Box Score,,17034,
Sat Jan 23 2016,10:30 PM,Los Angeles Lakers,103,Portland Trail Blazers,121,Box Score,,19728,
Sat Jan 23 2016,10:30 PM,Indiana Pacers,97,Sacramento Kings,108,Box Score,,17419,
Sun Jan 24 2016,7:30 PM,Oklahoma City Thunder,106,Brooklyn Nets,116,Box Score,,16019,
Sun Jan 24 2016,3:30 PM,Dallas Mavericks,104,Houston Rockets,115,Box Score,,18142,
Sun Jan 24 2016,7:00 PM,Boston Celtics,112,Philadelphia 76ers,92,Box Score,,9722,
Sun Jan 24 2016,6:00 PM,Los Angeles Clippers,94,Toronto Raptors,112,Box Score,,19800,
Mon Jan 25 2016,8:00 PM,Miami Heat,89,Chicago Bulls,84,Box Score,,21720,
Mon Jan 25 2016,7:00 PM,Minnesota Timberwolves,107,Cleveland Cavaliers,114,Box Score,,20562,
Mon Jan 25 2016,9:00 PM,Atlanta Hawks,119,Denver Nuggets,105,Box Score,,10280,
Mon Jan 25 2016,10:30 PM,San Antonio Spurs,90,Golden State Warriors,120,Box Score,,19596,
Mon Jan 25 2016,8:00 PM,Orlando Magic,102,Memphis Grizzlies,108,Box Score,OT,15779,
Mon Jan 25 2016,8:00 PM,Houston Rockets,112,New Orleans Pelicans,111,Box Score,,15688,
Mon Jan 25 2016,10:00 PM,Charlotte Hornets,129,Sacramento Kings,128,Box Score,2OT,16991,
Mon Jan 25 2016,9:00 PM,Detroit Pistons,95,Utah Jazz,92,Box Score,,18783,
Mon Jan 25 2016,7:00 PM,Boston Celtics,116,Washington Wizards,91,Box Score,,11753,
Tue Jan 26 2016,7:30 PM,Miami Heat,102,Brooklyn Nets,98,Box Score,,15267,
Tue Jan 26 2016,7:00 PM,Los Angeles Clippers,91,Indiana Pacers,89,Box Score,,15448,
Tue Jan 26 2016,10:30 PM,Dallas Mavericks,92,Los Angeles Lakers,90,Box Score,,18997,
Tue Jan 26 2016,8:00 PM,Orlando Magic,100,Milwaukee Bucks,107,Box Score,,11884,
Tue Jan 26 2016,7:30 PM,Oklahoma City Thunder,128,New York Knicks,122,Box Score,OT,19812,
Tue Jan 26 2016,7:00 PM,Phoenix Suns,103,Philadelphia 76ers,113,Box Score,,10851,
Tue Jan 26 2016,10:00 PM,Sacramento Kings,97,Portland Trail Blazers,112,Box Score,,19393,
Tue Jan 26 2016,7:30 PM,Washington Wizards,89,Toronto Raptors,106,Box Score,,19800,
Wed Jan 27 2016,8:00 PM,Los Angeles Clippers,85,Atlanta Hawks,83,Box Score,,17664,
Wed Jan 27 2016,7:30 PM,Denver Nuggets,103,Boston Celtics,111,Box Score,,18108,
Wed Jan 27 2016,7:00 PM,Phoenix Suns,93,Cleveland Cavaliers,115,Box Score,,20562,
Wed Jan 27 2016,7:30 PM,Philadelphia 76ers,97,Detroit Pistons,110,Box Score,,13712,
Wed Jan 27 2016,10:30 PM,Dallas Mavericks,107,Golden State Warriors,127,Box Score,,19596,
Wed Jan 27 2016,8:00 PM,Oklahoma City Thunder,126,Minnesota Timberwolves,123,Box Score,,13337,
Wed Jan 27 2016,8:00 PM,Houston Rockets,99,San Antonio Spurs,130,Box Score,,18418,
Wed Jan 27 2016,9:00 PM,Charlotte Hornets,73,Utah Jazz,102,Box Score,,16683,
Thu Jan 28 2016,7:00 PM,Atlanta Hawks,92,Indiana Pacers,111,Box Score,,15196,
Thu Jan 28 2016,10:30 PM,Chicago Bulls,114,Los Angeles Lakers,91,Box Score,,18997,
Thu Jan 28 2016,8:00 PM,Milwaukee Bucks,83,Memphis Grizzlies,103,Box Score,,15244,
Thu Jan 28 2016,8:00 PM,Sacramento Kings,105,New Orleans Pelicans,114,Box Score,,15636,
Thu Jan 28 2016,8:00 PM,New York Knicks,93,Toronto Raptors,103,Box Score,,19800,
Thu Jan 28 2016,7:00 PM,Denver Nuggets,117,Washington Wizards,113,Box Score,,15146,
Fri Jan 29 2016,7:30 PM,Orlando Magic,94,Boston Celtics,113,Box Score,,17729,
Fri Jan 29 2016,8:30 PM,Brooklyn Nets,79,Dallas Mavericks,91,Box Score,,20409,
Fri Jan 29 2016,7:30 PM,Cleveland Cavaliers,114,Detroit Pistons,106,Box Score,,21012,
Fri Jan 29 2016,10:30 PM,Los Angeles Lakers,93,Los Angeles Clippers,105,Box Score,,19495,
Fri Jan 29 2016,8:00 PM,Miami Heat,107,Milwaukee Bucks,103,Box Score,,17846,
Fri Jan 29 2016,7:30 PM,Phoenix Suns,84,New York Knicks,102,Box Score,,19812,
Fri Jan 29 2016,8:00 PM,Houston Rockets,108,Oklahoma City Thunder,116,Box Score,,18203,
Fri Jan 29 2016,10:00 PM,Charlotte Hornets,91,Portland Trail Blazers,109,Box Score,,19393,
Fri Jan 29 2016,9:00 PM,Minnesota Timberwolves,90,Utah Jazz,103,Box Score,,18850,
Sat Jan 30 2016,8:30 PM,San Antonio Spurs,103,Cleveland Cavaliers,117,Box Score,,20562,
Sat Jan 30 2016,8:00 PM,Washington Wizards,123,Houston Rockets,122,Box Score,,18320,
Sat Jan 30 2016,7:00 PM,Denver Nuggets,105,Indiana Pacers,109,Box Score,OT,18165,
Sat Jan 30 2016,8:00 PM,Sacramento Kings,117,Memphis Grizzlies,121,Box Score,,18119,
Sat Jan 30 2016,7:00 PM,Brooklyn Nets,103,New Orleans Pelicans,105,Box Score,,18037,
Sat Jan 30 2016,5:00 PM,Golden State Warriors,108,Philadelphia 76ers,105,Box Score,,20798,
Sat Jan 30 2016,6:30 PM,Detroit Pistons,107,Toronto Raptors,111,Box Score,,19800,
Sun Jan 31 2016,7:00 PM,Phoenix Suns,78,Dallas Mavericks,91,Box Score,,20137,
Sun Jan 31 2016,3:30 PM,Chicago Bulls,93,Los Angeles Clippers,120,Box Score,,19325,
Sun Jan 31 2016,9:30 PM,Charlotte Hornets,101,Los Angeles Lakers,82,Box Score,,18997,
Sun Jan 31 2016,6:00 PM,Atlanta Hawks,87,Miami Heat,105,Box Score,,19937,
Sun Jan 31 2016,7:30 PM,Golden State Warriors,116,New York Knicks,95,Box Score,,19812,
Sun Jan 31 2016,6:00 PM,Boston Celtics,114,Orlando Magic,119,Box Score,,18846,
Sun Jan 31 2016,9:00 PM,Minnesota Timberwolves,93,Portland Trail Blazers,96,Box Score,,19393,
Mon Feb 1 2016,8:00 PM,Dallas Mavericks,97,Atlanta Hawks,112,Box Score,,15455,
Mon Feb 1 2016,7:30 PM,Detroit Pistons,105,Brooklyn Nets,100,Box Score,,13290,
Mon Feb 1 2016,9:00 PM,Toronto Raptors,93,Denver Nuggets,112,Box Score,,10007,
Mon Feb 1 2016,7:00 PM,Cleveland Cavaliers,111,Indiana Pacers,106,Box Score,OT,17283,
Mon Feb 1 2016,8:00 PM,Memphis Grizzlies,110,New Orleans Pelicans,95,Box Score,,15210,
Mon Feb 1 2016,8:00 PM,Washington Wizards,98,Oklahoma City Thunder,114,Box Score,,18203,
Mon Feb 1 2016,10:00 PM,Milwaukee Bucks,104,Sacramento Kings,111,Box Score,,16827,
Mon Feb 1 2016,8:30 PM,Orlando Magic,92,San Antonio Spurs,107,Box Score,,18418,
Mon Feb 1 2016,9:00 PM,Chicago Bulls,96,Utah Jazz,105,Box Score,OT,18811,
Tue Feb 2 2016,8:00 PM,Miami Heat,102,Houston Rockets,115,Box Score,,18229,
Tue Feb 2 2016,10:30 PM,Minnesota Timberwolves,115,Los Angeles Lakers,119,Box Score,,18997,
Tue Feb 2 2016,7:30 PM,Boston Celtics,97,New York Knicks,89,Box Score,,19812,
Tue Feb 2 2016,9:00 PM,Toronto Raptors,104,Phoenix Suns,97,Box Score,,15897,
Tue Feb 2 2016,10:00 PM,Milwaukee Bucks,95,Portland Trail Blazers,107,Box Score,,18306,
Wed Feb 3 2016,7:30 PM,Detroit Pistons,95,Boston Celtics,102,Box Score,,17297,
Wed Feb 3 2016,7:30 PM,Indiana Pacers,114,Brooklyn Nets,100,Box Score,,13311,
Wed Feb 3 2016,7:00 PM,Cleveland Cavaliers,97,Charlotte Hornets,106,Box Score,,19189,
Wed Feb 3 2016,8:30 PM,Miami Heat,93,Dallas Mavericks,90,Box Score,,20385,
Wed Feb 3 2016,10:30 PM,Minnesota Timberwolves,108,Los Angeles Clippers,102,Box Score,,19060,
Wed Feb 3 2016,8:00 PM,Orlando Magic,114,Oklahoma City Thunder,117,Box Score,,18203,
Wed Feb 3 2016,7:00 PM,Atlanta Hawks,124,Philadelphia 76ers,86,Box Score,,10429,
Wed Feb 3 2016,10:00 PM,Chicago Bulls,107,Sacramento Kings,102,Box Score,,17317,
Wed Feb 3 2016,8:30 PM,New Orleans Pelicans,97,San Antonio Spurs,110,Box Score,,18418,
Wed Feb 3 2016,9:00 PM,Denver Nuggets,81,Utah Jazz,85,Box Score,,19461,
Wed Feb 3 2016,8:00 PM,Golden State Warriors,134,Washington Wizards,121,Box Score,,20356,
Thu Feb 4 2016,7:00 PM,New York Knicks,105,Detroit Pistons,111,Box Score,,17095,
Thu Feb 4 2016,9:30 PM,Los Angeles Lakers,99,New Orleans Pelicans,96,Box Score,,18420,
Thu Feb 4 2016,9:00 PM,Houston Rockets,111,Phoenix Suns,105,Box Score,,15723,
Thu Feb 4 2016,10:00 PM,Toronto Raptors,110,Portland Trail Blazers,103,Box Score,,19393,
Fri Feb 5 2016,7:00 PM,Indiana Pacers,96,Atlanta Hawks,102,Box Score,,17225,
Fri Feb 5 2016,7:30 PM,Sacramento Kings,119,Brooklyn Nets,128,Box Score,,14432,
Fri Feb 5 2016,7:00 PM,Miami Heat,98,Charlotte Hornets,95,Box Score,,19147,
Fri Feb 5 2016,7:30 PM,Boston Celtics,104,Cleveland Cavaliers,103,Box Score,,20562,
Fri Feb 5 2016,9:30 PM,San Antonio Spurs,116,Dallas Mavericks,90,Box Score,,20404,
Fri Feb 5 2016,9:00 PM,Chicago Bulls,110,Denver Nuggets,115,Box Score,,19155,
Fri Feb 5 2016,7:30 PM,Memphis Grizzlies,91,New York Knicks,85,Box Score,,19812,
Fri Feb 5 2016,7:00 PM,Los Angeles Clippers,107,Orlando Magic,93,Box Score,,16647,
Fri Feb 5 2016,9:00 PM,Milwaukee Bucks,81,Utah Jazz,84,Box Score,,19911,
Fri Feb 5 2016,7:00 PM,Philadelphia 76ers,94,Washington Wizards,106,Box Score,,17305,
Sat Feb 6 2016,7:00 PM,Washington Wizards,104,Charlotte Hornets,108,Box Score,,18450,
Sat Feb 6 2016,7:30 PM,New Orleans Pelicans,84,Cleveland Cavaliers,99,Box Score,,20562,
Sat Feb 6 2016,9:00 PM,Oklahoma City Thunder,108,Golden State Warriors,116,Box Score,,19596,
Sat Feb 6 2016,5:00 PM,Portland Trail Blazers,96,Houston Rockets,79,Box Score,,18308,
Sat Feb 6 2016,7:00 PM,Detroit Pistons,104,Indiana Pacers,112,Box Score,,18165,
Sat Feb 6 2016,8:00 PM,Dallas Mavericks,114,Memphis Grizzlies,110,Box Score,OT,18119,
Sat Feb 6 2016,8:00 PM,Chicago Bulls,105,Minnesota Timberwolves,112,Box Score,,17876,
Sat Feb 6 2016,7:30 PM,Brooklyn Nets,98,Philadelphia 76ers,103,Box Score,,18847,
Sat Feb 6 2016,9:00 PM,Utah Jazz,98,Phoenix Suns,89,Box Score,,16180,
Sat Feb 6 2016,8:30 PM,Los Angeles Lakers,102,San Antonio Spurs,106,Box Score,,18418,
Sun Feb 7 2016,1:00 PM,Sacramento Kings,119,Boston Celtics,128,Box Score,,18624,
Sun Feb 7 2016,2:00 PM,Los Angeles Clippers,100,Miami Heat,93,Box Score,,19624,
Sun Feb 7 2016,1:00 PM,Denver Nuggets,101,New York Knicks,96,Box Score,,19812,
Sun Feb 7 2016,1:00 PM,Atlanta Hawks,94,Orlando Magic,96,Box Score,,16021,
Mon Feb 8 2016,8:00 PM,Orlando Magic,117,Atlanta Hawks,110,Box Score,OT,13057,
Mon Feb 8 2016,7:30 PM,Denver Nuggets,104,Brooklyn Nets,105,Box Score,,13043,
Mon Feb 8 2016,7:00 PM,Chicago Bulls,91,Charlotte Hornets,108,Box Score,,15886,
Mon Feb 8 2016,7:00 PM,Sacramento Kings,100,Cleveland Cavaliers,120,Box Score,,20562,
Mon Feb 8 2016,7:30 PM,Toronto Raptors,103,Detroit Pistons,89,Box Score,,14103,
Mon Feb 8 2016,7:00 PM,Los Angeles Lakers,87,Indiana Pacers,89,Box Score,,18165,
Mon Feb 8 2016,8:00 PM,Portland Trail Blazers,112,Memphis Grizzlies,106,Box Score,OT,15892,
Mon Feb 8 2016,8:00 PM,New Orleans Pelicans,116,Minnesota Timberwolves,102,Box Score,,11926,
Mon Feb 8 2016,7:00 PM,Los Angeles Clippers,98,Philadelphia 76ers,92,Box Score,OT,13310,
Mon Feb 8 2016,9:00 PM,Oklahoma City Thunder,122,Phoenix Suns,106,Box Score,,16316,
Tue Feb 9 2016,8:30 PM,Utah Jazz,121,Dallas Mavericks,119,Box Score,OT,19394,
Tue Feb 9 2016,10:30 PM,Houston Rockets,110,Golden State Warriors,123,Box Score,,19596,
