Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 7 2015,6:00 PM,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,21988,
Sat Nov 7 2015,8:30 PM,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,20454,
Sat Nov 7 2015,10:30 PM,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,19361,
Sat Nov 7 2015,8:30 PM,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,15228,
Sat Nov 7 2015,7:00 PM,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,15207,
Sat Nov 7 2015,10:00 PM,Golden State Warriors,103,Sacramento Kings,94,Box Score,,17317,
Sat Nov 7 2015,8:30 PM,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,18418,
Sat Nov 7 2015,9:00 PM,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,19456,
Sun Nov 8 2015,3:30 PM,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,20562,
Sun Nov 8 2015,6:00 PM,Toronto Raptors,76,Miami Heat,96,Box Score,,19600,
Sun Nov 8 2015,3:30 PM,Los Angeles Lakers,95,New York Knicks,99,Box Score,,19812,
Sun Nov 8 2015,7:00 PM,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,18203,
Sun Nov 8 2015,9:00 PM,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,19393,
Mon Nov 9 2015,8:00 PM,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,12016,
Mon Nov 9 2015,9:00 PM,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,9153,
Mon Nov 9 2015,10:30 PM,Detroit Pistons,95,Golden State Warriors,109,Box Score,,19596,
Mon Nov 9 2015,7:00 PM,Orlando Magic,84,Indiana Pacers,97,Box Score,,13104,
Mon Nov 9 2015,10:30 PM,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,19060,
Mon Nov 9 2015,7:00 PM,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,13879,
Mon Nov 9 2015,10:00 PM,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,17317,
Tue Nov 10 2015,7:00 PM,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,20562,
Tue Nov 10 2015,7:30 PM,Los Angeles Lakers,88,Miami Heat,101,Box Score,,19825,
Tue Nov 10 2015,8:00 PM,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,11822,
Tue Nov 10 2015,8:00 PM,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,14722,
Tue Nov 10 2015,8:00 PM,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,17128,
Tue Nov 10 2015,7:30 PM,New York Knicks,111,Toronto Raptors,109,Box Score,,19800,
Tue Nov 10 2015,7:00 PM,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,20356,
Wed Nov 11 2015,8:00 PM,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,15597,
Wed Nov 11 2015,7:30 PM,Indiana Pacers,102,Boston Celtics,91,Box Score,,17879,
Wed Nov 11 2015,7:00 PM,New York Knicks,93,Charlotte Hornets,95,Box Score,,16643,
Wed Nov 11 2015,8:00 PM,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,19805,
Wed Nov 11 2015,9:00 PM,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,9403,
Wed Nov 11 2015,8:00 PM,Brooklyn Nets,106,Houston Rockets,98,Box Score,,18155,
Wed Nov 11 2015,8:00 PM,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,18119,
Wed Nov 11 2015,7:00 PM,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,18846,
Wed Nov 11 2015,7:00 PM,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,12744,
